,zone temperature,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),control signal
0,21.00013610529415,16.0,77.0,0.0,0.0,0.0,1.0
1,20.67254159210696,16.5,78.5,0.35,0.0,0.0,8.0
2,21.99460703313582,17.0,80.0,0.7,0.0,0.0,4.0
3,21.23559407689041,17.5,81.5,1.05,0.0,0.0,5.0
4,20.87863723730329,18.0,83.0,1.4,0.0,0.0,4.0
5,20.60227574274834,17.925,85.75,1.5,0.0,0.0,4.0
6,20.44726765159379,17.85,88.5,1.6,0.0,0.0,1.0
7,20.35196172212978,17.775,91.25,1.7,0.0,0.0,7.0
8,21.91877460142494,17.7,94.0,1.8,0.0,0.0,8.0
9,21.99913254927482,17.6,92.5,1.875,0.0,0.0,6.0
10,21.271638317108,17.5,91.0,1.95,0.0,0.0,0.0
11,20.74244082960989,17.4,89.5,2.025,0.0,0.0,6.0
12,20.98658707300167,17.3,88.0,2.1,0.0,0.0,7.0
13,21.99442164512186,17.225,91.0,2.2,0.0,0.0,7.0
14,21.99948616622213,17.15,94.0,2.3,0.0,0.0,6.0
15,21.29782451121872,17.075,97.0,2.4,0.0,0.0,2.0
16,20.89366589363438,17.0,100.0,2.5,0.0,0.0,5.0
17,20.61612290178716,17.25,98.5,2.625,0.0,0.0,1.0
18,20.47523675311914,17.5,97.0,2.75,0.0,0.0,5.0
19,20.38999619624282,17.75,95.5,2.875,0.0,0.0,3.0
20,20.33591906644373,18.0,94.0,3.0,15.5,0.0,1.0
21,20.28768225403364,17.75,95.5,3.525,23.25,0.0,6.0
22,20.99419742730735,17.5,97.0,4.05,31.0,0.0,9.0
23,20.99990814686861,17.25,98.5,4.574999999999999,54.75,0.0,9.0
24,20.99983221714703,17.0,100.0,5.1,78.5,0.0,7.0
25,21.99446409890069,17.25,100.0,5.475,102.25,0.0,1.0
26,21.37194868956684,17.5,100.0,5.85,126.0,0.0,2.0
27,21.04333027661321,17.75,100.0,6.225,182.25,0.0,6.0
28,21.02346200693492,18.0,100.0,6.6,238.5,0.0,8.0
29,21.9947634454958,18.0,100.0,6.475,294.75,0.0,2.0
30,21.66334105212555,18.0,100.0,6.35,351.0,0.0,5.0
31,21.57237125870218,18.0,100.0,6.225,440.75,0.0,5.0
32,21.66352599308031,18.0,100.0,6.1,530.5,0.0,8.0
33,21.99785686777584,18.4,98.0,5.85,620.25,11.0,6.0
34,22.98391500522877,18.8,96.0,5.6,710.0,11.0,2.0
35,22.00518621099221,19.2,94.0,5.35,750.5,11.0,5.0
36,21.81775782620565,19.6,92.0,5.1,791.0,11.0,4.0
37,22.28874643950692,19.95,89.75,5.475,831.5,11.0,0.0
38,22.56945767234708,20.3,87.5,5.85,872.0,11.0,0.0
39,22.69897413349167,20.65,85.25,6.225,890.75,11.0,1.0
40,22.85039391286515,21.0,83.0,6.6,909.5,11.0,2.0
41,22.99252355552889,21.25,81.75,6.6,928.25,11.0,7.0
42,22.08167839600195,21.5,80.5,6.6,947.0,11.0,5.0
43,22.84256143309222,21.75,79.25,6.6,957.75,11.0,5.0
44,23.12104917959736,22.0,78.0,6.6,968.5,11.0,3.0
45,23.28310743567381,21.9,78.0,6.35,979.25,8.8,5.0
46,23.36593449493397,21.8,78.0,6.1,990.0,8.8,3.0
47,23.43101252848852,21.7,78.0,5.85,992.75,8.8,7.0
48,22.51242629766531,21.6,78.0,5.6,995.5,8.8,4.0
49,23.35461784380556,21.45,78.0,5.475,998.25,4.4,7.0
50,23.01422133708796,21.3,78.0,5.35,1001.0,4.4,2.0
51,23.49400420827928,21.15,78.0,5.225,996.5,4.4,0.0
52,23.68254995126745,21.0,78.0,5.1,992.0,4.4,8.0
53,22.14840327686393,21.0,78.0,5.1,987.5,8.8,0.0
54,23.01636467595118,21.0,78.0,5.1,983.0,8.8,2.0
55,23.32213906788177,21.0,78.0,5.1,972.75,8.8,3.0
56,23.37027021712923,21.0,78.0,5.1,962.5,8.8,4.0
57,23.3812344403733,20.75,82.0,5.1,952.25,11.0,1.0
58,23.4098446034596,20.5,86.0,5.1,942.0,11.0,9.0
59,21.61458119785386,20.25,90.0,5.1,916.0,11.0,4.0
60,22.76140380540597,20.0,94.0,5.1,890.0,11.0,2.0
61,23.09960713688622,20.25,91.25,5.1,864.0,11.0,3.0
62,23.24993958471429,20.5,88.5,5.1,838.0,11.0,7.0
63,22.39747898113199,20.75,85.75,5.1,818.25,11.0,3.0
64,23.05471158153413,21.0,83.0,5.1,798.5,11.0,5.0
65,23.33017601460276,21.0,83.0,4.975,778.75,11.0,1.0
66,23.24838051300339,21.0,83.0,4.85,759.0,11.0,1.0
67,23.21151725241715,21.0,83.0,4.725,711.0,11.0,1.0
68,23.160614541851,21.0,83.0,4.6,663.0,11.0,9.0
69,21.40222803016073,21.25,80.5,4.85,615.0,11.0,3.0
70,22.37924200469187,21.5,78.0,5.1,567.0,11.0,0.0
71,22.6205943872939,21.75,75.5,5.35,508.0,11.0,9.0
72,21.1726223725545,22.0,73.0,5.6,449.0,11.0,6.0
73,21.71941447980659,21.75,73.0,5.225,390.0,5.5,7.0
74,21.96086688922193,21.5,73.0,4.85,331.0,5.5,6.0
75,21.68282004422119,21.25,73.0,4.475,256.75,5.5,4.0
76,21.49707301229517,21.0,73.0,4.1,182.5,5.5,0.0
77,21.07034019993186,20.75,74.25,3.975,108.25,1.1,6.0
78,21.0097939019324,20.5,75.5,3.85,34.0,1.1,7.0
79,21.92413720400974,20.25,76.75,3.725,0.0,1.1,5.0
80,20.72088222526779,20.0,78.0,3.6,0.0,1.1,9.0
81,20.97863509301914,19.75,76.75,2.7,0.0,1.1,4.0
82,20.30220498125637,19.5,75.5,1.8,0.0,1.1,8.0
83,21.86033960596234,19.25,74.25,0.9,0.0,1.1,8.0
84,21.99916152536247,19.0,73.0,0.0,0.0,1.1,7.0
85,22.00060753455781,18.25,74.0,0.0,0.0,0.0,6.0
86,21.5924809839641,17.5,75.0,0.0,0.0,0.0,1.0
87,21.15336895386566,16.75,76.0,0.0,0.0,0.0,8.0
88,21.99544573361813,16.0,77.0,0.0,0.0,0.0,8.0
89,22.00037610708452,16.0,77.0,0.0,0.0,0.0,8.0
90,22.00070974456158,16.0,77.0,0.0,0.0,0.0,2.0
91,21.45301086381994,16.0,77.0,0.0,0.0,0.0,8.0
92,21.98821405775164,16.0,77.0,0.0,0.0,0.0,4.0
93,21.34646086458699,16.0,77.0,0.0,0.0,0.0,6.0
94,21.00675527977331,16.0,77.0,0.0,0.0,0.0,1.0
95,20.75151371499655,16.0,77.0,0.0,0.0,0.0,3.0
96,20.56227999127505,16.0,77.0,0.0,0.0,0.0,4.0
97,20.41603135992272,16.0,77.0,0.0,0.0,0.0,9.0
98,20.98823544641935,16.0,77.0,0.0,0.0,0.0,7.0
99,21.99342708473765,16.0,77.0,0.0,0.0,0.0,8.0
100,22.00017149308909,16.0,77.0,0.0,0.0,0.0,4.0
101,21.19567056494628,15.5,78.25,0.5,0.0,0.0,9.0
102,21.00487554028805,15.0,79.5,1.0,0.0,0.0,6.0
103,21.00019256158696,14.5,80.75,1.5,0.0,0.0,7.0
104,21.99066543060428,14.0,82.0,2.0,0.0,0.0,2.0
105,20.99063119413542,14.0,82.0,2.0,0.0,0.0,0.0
106,20.35182135325326,14.0,82.0,2.0,0.0,0.0,9.0
107,20.9804918946848,14.0,82.0,2.0,0.0,0.0,7.0
108,21.98989921848012,14.0,82.0,2.0,0.0,0.0,1.0
109,20.89948867520956,13.75,83.5,2.0,0.0,0.0,9.0
110,20.96424546089053,13.5,85.0,2.0,0.0,0.0,1.0
111,20.42318215577508,13.25,86.5,2.0,0.0,0.0,1.0
112,19.91140228965399,13.0,88.0,2.0,0.0,0.0,3.0
113,19.64545266511384,13.0,86.5,2.125,0.0,0.0,7.0
114,21.78362309360669,13.0,85.0,2.25,0.0,0.0,7.0
115,21.99588554490595,13.0,83.5,2.375,0.0,0.0,6.0
116,21.11627671176836,13.0,82.0,2.5,23.0,0.0,6.0
117,21.00025886903233,13.25,80.75,2.775,34.5,0.0,1.0
118,20.47047568136456,13.5,79.5,3.05,46.0,0.0,3.0
119,20.04211171368641,13.75,78.25,3.325,132.25,0.0,6.0
120,20.98300620651391,14.0,77.0,3.6,218.5,0.0,5.0
121,20.46616610317035,14.0,78.25,3.45,304.75,0.0,6.0
122,20.99066180489731,14.0,79.5,3.3,391.0,0.0,8.0
123,21.99243019390926,14.0,80.75,3.15,444.75,0.0,4.0
124,21.22927857186739,14.0,82.0,3.0,498.5,0.0,0.0
125,20.95576871753529,14.5,80.75,3.4,552.25,0.0,9.0
126,20.99994416337532,15.0,79.5,3.8,606.0,0.0,0.0
127,21.04958521534433,15.5,78.25,4.199999999999999,646.0,0.0,1.0
128,21.17964044902643,16.0,77.0,4.6,686.0,0.0,4.0
129,22.12291630998435,16.5,73.75,4.35,726.0,11.0,8.0
130,22.00023944040313,17.0,70.5,4.1,766.0,11.0,5.0
131,23.08415869554927,17.5,67.25,3.85,791.5,11.0,6.0
132,23.69057572851047,18.0,64.0,3.6,817.0,11.0,1.0
133,24.66732062187306,18.75,62.0,3.85,842.5,11.0,4.0
134,23.20576366360937,19.5,60.0,4.1,868.0,11.0,4.0
135,23.08592754444405,20.25,58.0,4.35,878.75,11.0,2.0
136,23.13213691605234,21.0,56.0,4.6,889.5,11.0,5.0
137,23.14234566292409,20.5,58.0,4.35,900.25,11.0,8.0
138,22.07950762201503,20.0,60.0,4.1,911.0,11.0,5.0
139,22.87357862541081,19.5,62.0,3.85,928.5,11.0,7.0
140,22.99625200076344,19.0,64.0,3.6,946.0,11.0,9.0
141,21.32561453814465,19.5,59.5,3.725,963.5,8.8,6.0
142,22.58225796633907,20.0,55.0,3.85,981.0,8.8,6.0
143,22.99079566743541,20.5,50.5,3.975,982.5,8.8,1.0
144,23.16004696976072,21.0,46.0,4.1,984.0,8.8,6.0
145,23.53701324769079,21.25,46.0,3.075,985.5,4.4,6.0
146,23.7343062345664,21.5,46.0,2.05,987.0,4.4,0.0
147,23.80281760236275,21.75,46.0,1.025,975.25,4.4,4.0
148,23.90878868277575,22.0,46.0,0.0,963.5,4.4,4.0
149,23.80664195733879,22.25,45.5,0.625,951.75,8.8,8.0
150,22.1939946590608,22.5,45.0,1.25,940.0,8.8,8.0
151,22.02495745217607,22.75,44.5,1.875,879.0,8.8,0.0
152,23.08097101940931,23.0,44.0,2.5,818.0,8.8,0.0
153,23.36182337416824,23.0,43.25,2.5,757.0,11.0,6.0
154,23.48355542203252,23.0,42.5,2.5,696.0,11.0,7.0
155,22.54241339810271,23.0,41.75,2.5,680.0,11.0,0.0
156,23.29744585666175,23.0,41.0,2.5,664.0,11.0,7.0
157,22.50076700844193,23.0,40.25,2.9,648.0,11.0,3.0
158,23.21643863256391,23.0,39.5,3.3,632.0,11.0,3.0
159,23.4634454158574,23.0,38.75,3.7,652.5,11.0,4.0
160,23.51040595714425,23.0,38.0,4.1,673.0,11.0,2.0
161,23.49458614979182,22.75,39.25,4.35,693.5,11.0,1.0
162,23.448183632568,22.5,40.5,4.6,714.0,11.0,7.0
163,22.41670825734904,22.25,41.75,4.85,627.25,11.0,5.0
164,22.98928354780331,22.0,43.0,5.1,540.5,11.0,3.0
165,23.09341056386347,22.0,43.0,4.574999999999999,453.75,11.0,1.0
166,23.02392902581401,22.0,43.0,4.05,367.0,11.0,0.0
167,22.93515937130049,22.0,43.0,3.525,322.5,11.0,3.0
168,22.84738189817821,22.0,43.0,3.0,278.0,11.0,4.0
169,22.39526789182117,21.5,43.75,2.825,233.5,5.5,7.0
170,22.1012935355348,21.0,44.5,2.65,189.0,5.5,1.0
171,21.8253544858099,20.5,45.25,2.475,147.0,5.5,5.0
172,21.62832617500685,20.0,46.0,2.3,105.0,5.5,0.0
173,21.16240080398319,19.75,47.5,2.1,63.0,1.1,9.0
174,21.01256247538787,19.5,49.0,1.9,21.0,1.1,2.0
175,20.69056304808264,19.25,50.5,1.7,0.0,1.1,7.0
176,22.15328531249021,19.0,52.0,1.5,0.0,1.1,7.0
177,22.003123811971,18.5,54.75,1.125,0.0,1.1,5.0
178,21.71648843242809,18.0,57.5,0.75,0.0,1.1,7.0
179,21.99590910212135,17.5,60.25,0.375,0.0,1.1,5.0
180,21.8144971754397,17.0,63.0,0.0,0.0,1.1,4.0
181,21.50080683281305,16.75,65.25,0.375,0.0,0.0,0.0
182,21.22649634677111,16.5,67.5,0.75,0.0,0.0,2.0
183,21.04734708710574,16.25,69.75,1.125,0.0,0.0,9.0
184,21.00090086044738,16.0,72.0,1.5,0.0,0.0,2.0
185,20.83286918571246,15.75,73.25,1.125,0.0,0.0,7.0
186,21.99538957188293,15.5,74.5,0.75,0.0,0.0,1.0
187,21.27547385827105,15.25,75.75,0.375,0.0,0.0,8.0
188,21.99042282137601,15.0,77.0,0.0,0.0,0.0,5.0
189,21.2690719552712,14.5,79.75,0.0,0.0,0.0,3.0
190,20.79770628321597,14.0,82.5,0.0,0.0,0.0,1.0
191,20.48937335566325,13.5,85.25,0.0,0.0,0.0,7.0
192,21.94784652484253,13.0,88.0,0.0,0.0,0.0,5.0
193,20.99153926553103,13.25,88.0,0.0,0.0,0.0,8.0
194,21.9902604042835,13.5,88.0,0.0,0.0,0.0,3.0
195,21.0954233038618,13.75,88.0,0.0,0.0,0.0,7.0
196,21.98645751544477,14.0,88.0,0.0,0.0,0.0,9.0
197,21.03230399742045,14.0,88.0,0.0,0.0,0.0,0.0
198,20.5128039551099,14.0,88.0,0.0,0.0,0.0,4.0
