Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1)
16.0,77.0,0.0,0.0,0.0
16.5,78.5,0.35,0.0,0.0
17.0,80.0,0.7,0.0,0.0
17.5,81.5,1.05,0.0,0.0
18.0,83.0,1.4,0.0,0.0
17.925,85.75,1.5,0.0,0.0
17.85,88.5,1.6,0.0,0.0
17.775,91.25,1.7,0.0,0.0
17.7,94.0,1.8,0.0,0.0
17.6,92.5,1.875,0.0,0.0
17.5,91.0,1.95,0.0,0.0
17.4,89.5,2.025,0.0,0.0
17.3,88.0,2.1,0.0,0.0
17.225,91.0,2.2,0.0,0.0
17.15,94.0,2.3,0.0,0.0
17.075,97.0,2.4,0.0,0.0
17.0,100.0,2.5,0.0,0.0
17.25,98.5,2.625,0.0,0.0
17.5,97.0,2.75,0.0,0.0
17.75,95.5,2.875,0.0,0.0
18.0,94.0,3.0,15.5,0.0
17.75,95.5,3.525,23.25,0.0
17.5,97.0,4.05,31.0,0.0
17.25,98.5,4.574999999999999,54.75,0.0
17.0,100.0,5.1,78.5,0.0
17.25,100.0,5.475,102.25,0.0
17.5,100.0,5.85,126.0,0.0
17.75,100.0,6.225,182.25,0.0
18.0,100.0,6.6,238.5,0.0
18.0,100.0,6.475,294.75,0.0
18.0,100.0,6.35,351.0,0.0
18.0,100.0,6.225,440.75,0.0
18.0,100.0,6.1,530.5,0.0
18.4,98.0,5.85,620.25,11.0
18.8,96.0,5.6,710.0,11.0
19.2,94.0,5.35,750.5,11.0
19.6,92.0,5.1,791.0,11.0
19.95,89.75,5.475,831.5,11.0
20.3,87.5,5.85,872.0,11.0
20.65,85.25,6.225,890.75,11.0
21.0,83.0,6.6,909.5,11.0
21.25,81.75,6.6,928.25,11.0
21.5,80.5,6.6,947.0,11.0
21.75,79.25,6.6,957.75,11.0
22.0,78.0,6.6,968.5,11.0
21.9,78.0,6.35,979.25,8.8
21.8,78.0,6.1,990.0,8.8
21.7,78.0,5.85,992.75,8.8
21.6,78.0,5.6,995.5,8.8
21.45,78.0,5.475,998.25,4.4
21.3,78.0,5.35,1001.0,4.4
21.15,78.0,5.225,996.5,4.4
21.0,78.0,5.1,992.0,4.4
21.0,78.0,5.1,987.5,8.8
21.0,78.0,5.1,983.0,8.8
21.0,78.0,5.1,972.75,8.8
21.0,78.0,5.1,962.5,8.8
20.75,82.0,5.1,952.25,11.0
20.5,86.0,5.1,942.0,11.0
20.25,90.0,5.1,916.0,11.0
20.0,94.0,5.1,890.0,11.0
20.25,91.25,5.1,864.0,11.0
20.5,88.5,5.1,838.0,11.0
20.75,85.75,5.1,818.25,11.0
21.0,83.0,5.1,798.5,11.0
21.0,83.0,4.975,778.75,11.0
21.0,83.0,4.85,759.0,11.0
21.0,83.0,4.725,711.0,11.0
21.0,83.0,4.6,663.0,11.0
21.25,80.5,4.85,615.0,11.0
21.5,78.0,5.1,567.0,11.0
21.75,75.5,5.35,508.0,11.0
22.0,73.0,5.6,449.0,11.0
21.75,73.0,5.225,390.0,5.5
21.5,73.0,4.85,331.0,5.5
21.25,73.0,4.475,256.75,5.5
21.0,73.0,4.1,182.5,5.5
20.75,74.25,3.975,108.25,1.1
20.5,75.5,3.85,34.0,1.1
20.25,76.75,3.725,0.0,1.1
20.0,78.0,3.6,0.0,1.1
19.75,76.75,2.7,0.0,1.1
19.5,75.5,1.8,0.0,1.1
19.25,74.25,0.9,0.0,1.1
19.0,73.0,0.0,0.0,1.1
18.25,74.0,0.0,0.0,0.0
17.5,75.0,0.0,0.0,0.0
16.75,76.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
16.0,77.0,0.0,0.0,0.0
15.5,78.25,0.5,0.0,0.0
15.0,79.5,1.0,0.0,0.0
14.5,80.75,1.5,0.0,0.0
14.0,82.0,2.0,0.0,0.0
14.0,82.0,2.0,0.0,0.0
14.0,82.0,2.0,0.0,0.0
14.0,82.0,2.0,0.0,0.0
14.0,82.0,2.0,0.0,0.0
13.75,83.5,2.0,0.0,0.0
13.5,85.0,2.0,0.0,0.0
13.25,86.5,2.0,0.0,0.0
13.0,88.0,2.0,0.0,0.0
13.0,86.5,2.125,0.0,0.0
13.0,85.0,2.25,0.0,0.0
13.0,83.5,2.375,0.0,0.0
13.0,82.0,2.5,23.0,0.0
13.25,80.75,2.775,34.5,0.0
13.5,79.5,3.05,46.0,0.0
13.75,78.25,3.325,132.25,0.0
14.0,77.0,3.6,218.5,0.0
14.0,78.25,3.45,304.75,0.0
14.0,79.5,3.3,391.0,0.0
14.0,80.75,3.15,444.75,0.0
14.0,82.0,3.0,498.5,0.0
14.5,80.75,3.4,552.25,0.0
15.0,79.5,3.8,606.0,0.0
15.5,78.25,4.199999999999999,646.0,0.0
16.0,77.0,4.6,686.0,0.0
16.5,73.75,4.35,726.0,11.0
17.0,70.5,4.1,766.0,11.0
17.5,67.25,3.85,791.5,11.0
18.0,64.0,3.6,817.0,11.0
18.75,62.0,3.85,842.5,11.0
19.5,60.0,4.1,868.0,11.0
20.25,58.0,4.35,878.75,11.0
21.0,56.0,4.6,889.5,11.0
20.5,58.0,4.35,900.25,11.0
20.0,60.0,4.1,911.0,11.0
19.5,62.0,3.85,928.5,11.0
19.0,64.0,3.6,946.0,11.0
19.5,59.5,3.725,963.5,8.8
20.0,55.0,3.85,981.0,8.8
20.5,50.5,3.975,982.5,8.8
21.0,46.0,4.1,984.0,8.8
21.25,46.0,3.075,985.5,4.4
21.5,46.0,2.05,987.0,4.4
21.75,46.0,1.025,975.25,4.4
22.0,46.0,0.0,963.5,4.4
22.25,45.5,0.625,951.75,8.8
22.5,45.0,1.25,940.0,8.8
22.75,44.5,1.875,879.0,8.8
23.0,44.0,2.5,818.0,8.8
23.0,43.25,2.5,757.0,11.0
23.0,42.5,2.5,696.0,11.0
23.0,41.75,2.5,680.0,11.0
23.0,41.0,2.5,664.0,11.0
23.0,40.25,2.9,648.0,11.0
23.0,39.5,3.3,632.0,11.0
23.0,38.75,3.7,652.5,11.0
23.0,38.0,4.1,673.0,11.0
22.75,39.25,4.35,693.5,11.0
22.5,40.5,4.6,714.0,11.0
22.25,41.75,4.85,627.25,11.0
22.0,43.0,5.1,540.5,11.0
22.0,43.0,4.574999999999999,453.75,11.0
22.0,43.0,4.05,367.0,11.0
22.0,43.0,3.525,322.5,11.0
22.0,43.0,3.0,278.0,11.0
21.5,43.75,2.825,233.5,5.5
21.0,44.5,2.65,189.0,5.5
20.5,45.25,2.475,147.0,5.5
20.0,46.0,2.3,105.0,5.5
19.75,47.5,2.1,63.0,1.1
19.5,49.0,1.9,21.0,1.1
19.25,50.5,1.7,0.0,1.1
19.0,52.0,1.5,0.0,1.1
18.5,54.75,1.125,0.0,1.1
18.0,57.5,0.75,0.0,1.1
17.5,60.25,0.375,0.0,1.1
17.0,63.0,0.0,0.0,1.1
16.75,65.25,0.375,0.0,0.0
16.5,67.5,0.75,0.0,0.0
16.25,69.75,1.125,0.0,0.0
16.0,72.0,1.5,0.0,0.0
15.75,73.25,1.125,0.0,0.0
15.5,74.5,0.75,0.0,0.0
15.25,75.75,0.375,0.0,0.0
15.0,77.0,0.0,0.0,0.0
14.5,79.75,0.0,0.0,0.0
14.0,82.5,0.0,0.0,0.0
