,comfort reward,energy reward
0,-0.0,-76.00235584380772
1,-0.0,-105.90920977297999
2,-0.0,-122.7449261682915
3,-0.0,-98.21201053579074
4,-0.0,-88.29131488005574
5,-0.0,-77.6385769901479
6,-0.0,-74.21723982264898
7,-0.0,-70.76017053268873
8,-0.0,-68.3152906441852
9,-0.0,-67.04338018169365
10,-0.0,-66.10434733378021
11,-0.0,-65.55469822370887
12,-0.0,-65.13907460746536
13,-0.0,-64.9121137325811
14,-0.0,-64.74260589565317
15,-0.0,-64.72035261390275
16,-0.0,-63.32891473857161
17,-0.0,-62.21740443146236
18,-0.0,-61.82533786062719
19,-0.0,-59.50012162462972
20,-0.0,-58.3555638022003
21,-0.0,-57.57482932014965
22,-0.0,-55.70002624786825
23,-0.0,-53.875585782427706
24,-0.0,-49.953827516899786
25,-0.0,-46.19264063126521
26,-0.0,-39.57547691639126
27,-0.0,-34.82790193821988
28,-0.0,-29.42777820982255
29,-0.0,-27.35929372133679
30,-0.0,-25.362287092004422
31,-0.0,-23.40143646208855
32,-2.7,-0.34025338110837156
33,-2.7,-0.4779880942920344
34,-2.7,-7.950290178085574
35,-2.7,-7.942699329887424
36,-2.7,-6.178633191699245
37,-2.7,-6.0509367829931735
38,-2.7,-5.931351336921506
39,-2.7,-5.8371460989281045
40,-2.7,-5.729006125833231
41,-2.7,-5.662556410716644
42,-2.7,-5.64892533659609
43,-2.7,-5.648032732068263
44,-2.7,-4.899567754017843
45,-2.7,-4.835447533320162
46,-2.7,-4.852710086501453
47,-2.7,-4.86449914678494
48,-2.7,-4.301978053680269
49,-2.7,-4.364268663187048
50,-2.7,-4.333509354535628
51,-2.7,-4.3193402671348675
52,-2.7,-4.833423740565088
53,-2.7,-4.863172572937995
54,-2.7,-4.8641950728676315
55,-2.7,-4.8621521708668265
56,-2.7,-5.539712966055675
57,-2.7,-5.741489457931488
58,-2.7,-5.8982252516491
59,-2.7,-6.071070798559901
60,-2.7,-6.324766082314098
61,-2.7,-6.349624775528398
62,-2.7,-6.38278399282034
63,-2.7,-6.418087348180329
64,-2.7,-7.02363130998303
65,-2.7,-7.2701828827243915
66,-2.7,-7.380631227745862
67,-2.7,-7.6133408376357705
68,-2.7,-7.772474568636607
69,-2.7,-7.927885100703422
70,-2.7,-8.129015762494264
71,-2.7,-8.333946083757226
